Record ID,Account_ID,Accounts_ID Name,Company,Created By ID,Created Date,Deleted,Email,Owner ID
"a05bm00000CbYlZAAV","1","a05bm00000CbYlZ","FurgoTrans","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@furgotrans.com","005bm00000CTSfdAAH"
"a05bm00000CbYlaAAF","2","a05bm00000CbYla","MegaLogística","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@xn--megalogstica-yfb.com","005bm00000CTSfdAAH"
"a05bm00000CbYlbAAF","3","a05bm00000CbYlb","ConstruMóvil","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@xn--construmvil-xeb.com","005bm00000CTSfdAAH"
"a05bm00000CbYlcAAF","4","a05bm00000CbYlc","FoodFleet","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@foodfleet.com","005bm00000CTSfdAAH"
"a05bm00000CbYldAAF","5","a05bm00000CbYld","TechCargo","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@techcargo.com","005bm00000CTSfdAAH"
"a05bm00000CbYleAAF","6","a05bm00000CbYle","TransPortex","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@transportex.com","005bm00000CTSfdAAH"
"a05bm00000CbYlfAAF","7","a05bm00000CbYlf","CargaMax","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@cargamax.com","005bm00000CTSfdAAH"
"a05bm00000CbYlgAAF","8","a05bm00000CbYlg","ExpressMovil","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@expressmovil.com","005bm00000CTSfdAAH"
"a05bm00000CbYlhAAF","9","a05bm00000CbYlh","LogisWorld","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@logisworld.com","005bm00000CTSfdAAH"
"a05bm00000CbYliAAF","10","a05bm00000CbYli","AutoCargo","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@autocargo.com","005bm00000CTSfdAAH"
"a05bm00000CbYljAAF","11","a05bm00000CbYlj","HeavyLoad","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@heavyload.com","005bm00000CTSfdAAH"
"a05bm00000CbYlkAAF","12","a05bm00000CbYlk","SpeedTruck","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@speedtruck.com","005bm00000CTSfdAAH"
"a05bm00000CbYllAAF","13","a05bm00000CbYll","FlexiTransport","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@flexitransport.com","005bm00000CTSfdAAH"
"a05bm00000CbYlmAAF","14","a05bm00000CbYlm","CargoNet","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@cargonet.com","005bm00000CTSfdAAH"
"a05bm00000CbYlnAAF","15","a05bm00000CbYln","UrbanLogistics","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@urbanlogistics.com","005bm00000CTSfdAAH"
"a05bm00000CbYloAAF","16","a05bm00000CbYlo","DistribuExpress","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@distribuexpress.com","005bm00000CTSfdAAH"
"a05bm00000CbYlpAAF","17","a05bm00000CbYlp","RutaFlete","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@rutaflete.com","005bm00000CTSfdAAH"
"a05bm00000CbYlqAAF","18","a05bm00000CbYlq","FastMove","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@fastmove.com","005bm00000CTSfdAAH"
"a05bm00000CbYlrAAF","19","a05bm00000CbYlr","LoadMaster","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@loadmaster.com","005bm00000CTSfdAAH"
"a05bm00000CbYlsAAF","20","a05bm00000CbYls","EcoLogística","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@xn--ecologstica-tcb.com","005bm00000CTSfdAAH"
"a05bm00000CbYltAAF","21","a05bm00000CbYlt","NexusTransport","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@nexustransport.com","005bm00000CTSfdAAH"
"a05bm00000CbYluAAF","22","a05bm00000CbYlu","PowerHaul","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@powerhaul.com","005bm00000CTSfdAAH"
"a05bm00000CbYlvAAF","23","a05bm00000CbYlv","GlobalFlete","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@globalflete.com","005bm00000CTSfdAAH"
"a05bm00000CbYlwAAF","24","a05bm00000CbYlw","SteelCargo","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@steelcargo.com","005bm00000CTSfdAAH"
"a05bm00000CbYlxAAF","25","a05bm00000CbYlx","PrimeTransport","005bm00000CTSfdAAH","03/20/2025T04:39:59.000Z","false","info@primetransport.com","005bm00000CTSfdAAH"
